FECHA,HORA,MODALIDAD,CANT_FALLECIDOS,CANT_HERIDOS,LATITUD,LONGITUD,DEPARTAMENTO,PROVINCIA,DISTRITO
2020-01-13,17:00:00,DESPISTE,0,0,-10.94125,-75.20775,JUNIN,CHANCHAMAYO,PERENE
2020-01-13,05:15:00,EMBISTE,1,0,-5.187478,-80.641765,PIURA,PIURA,PIURA
2020-01-13,13:20:00,CHOQUE,0,1,-11.790243,-75.688457,JUNIN,JAUJA,CURICACA
2020-01-13,18:50:00,CHOQUE,1,0,-6.555,-79.223,CAJAMARCA,CHOTA,LLAMA
2020-01-13,01:30:00,CHOQUE,1,27,-11.01883058,-77.59967586,LIMA,HUAURA,VEGUETA
2020-01-14,13:30:00,DESPISTE,0,0,-11.596722,-76.097444,JUNIN,YAULI,MOROCOCHA
2020-01-14,16:30:00,CHOQUE,0,2,-12.253622,-76.892055,LIMA,LIMA,LURIN
2020-01-14,11:10:00,CHOQUE,0,2,-16.41578724,-71.52525472,AREQUIPA,AREQUIPA,JOSE LUIS BUSTAMANTE Y RIVERO
2020-01-14,11:40:00,CHOQUE,1,0,-12.250824,-76.92988,LIMA,LIMA,LURIN
2020-01-15,18:00:00,CHOQUE,0,0,-11.87674628,-77.12690256,CALLAO,CALLAO,VENTANILLA
2020-01-15,06:05:00,CHOQUE,0,0,-9.730337,-78.263806,ANCASH,CASMA,CASMA
2020-01-15,09:30:00,DESPISTE,0,0,-9.029,-76.963,HUANUCO,HUACAYBAMBA,HUACAYBAMBA
2020-01-15,04:55:00,CHOQUE,1,1,-6.642,-78.565,CAJAMARCA,HUALGAYOC,BAMBAMARCA
2020-01-15,14:20:00,ATROPELLO,1,0,-13.589,-71.801,CUSCO,QUISPICANCHI,OROPESA
2020-01-16,00:10:00,DESPISTE,0,0,-11.775657,-76.306983,LIMA,HUAROCHIRI,SAN MATEO
2020-01-16,05:30:00,CHOQUE,0,0,-11.9268,-76.649413,LIMA,HUAROCHIRI,RICARDO PALMA
2020-01-16,15:55:00,CHOQUE,0,0,-12.605,-76.664,LIMA,CAÑETE,SAN ANTONIO
2020-01-16,17:15:00,DESPISTE,0,0,-15.45388277,-71.0689959,AREQUIPA,CAYLLOMA,CALLALLI
2020-01-16,21:00:00,DESPISTE,0,0,-11.665871,-76.251649,LIMA,HUAROCHIRI,CHICLA
2020-01-16,21:50:00,CHOQUE,0,0,-16.044778,-71.320833,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI
2020-01-16,08:40:00,DESPISTE,0,0,-7.831927,-77.87771,LA LIBERTAD,SANCHEZ CARRION,CHUGAY
2020-01-16,00:05:00,CHOQUE,2,0,-16.426667,-72.018139,AREQUIPA,AREQUIPA,VITOR
2020-01-16,15:00:00,CHOQUE,0,3,-16.295,-71.65,AREQUIPA,AREQUIPA,YURA
2020-01-16,19:30:00,ATROPELLO,0,2,-13.69724265,-76.153498,ICA,PISCO,PISCO
2020-01-17,07:20:00,DESPISTE,0,0,-11.581981,-77.260936,LIMA,HUARAL,CHANCAY-HUARAL
2020-01-17,12:35:00,DESPISTE,0,0,-11.55118439,-75.88079333,JUNIN,YAULI,LA OROYA
2020-01-17,07:20:00,CHOQUE,0,7,-12.023748,-76.913443,LIMA,LIMA,ATE
2020-01-17,09:58:00,CHOQUE,0,2,-14.31683,-71.2508,CUSCO,CANCHIS,SICUANI
2020-01-17,15:40:00,DESPISTE,1,9,-16.055271,-71.41108,AREQUIPA,AREQUIPA,YURA
2020-01-17,19:50:00,DESPISTE,0,3,-13.664322,-72.930561,APURIMAC,ABANCAY,ABANCAY
2020-01-18,02:00:00,DESPISTE,0,0,-11.727883,-76.266432,LIMA,HUAROCHIRI,CHICLA
2020-01-18,08:45:00,DESPISTE,0,0,-11.90619612,-76.52152505,LIMA,HUAROCHIRI,SAN BARTOLOME
2020-01-18,09:00:00,DESPISTE,0,0,-11.6714369,-75.57340103,JUNIN,JAUJA,ACOLLA
2020-01-18,12:30:00,DESPISTE,0,0,-15.631,-70.338,PUNO,SAN ROMAN,CABANILLAS
2020-01-18,19:00:00,INCENDIO,0,0,-13.30154,-76.2563,LIMA,CAÑETE,SAN VICENTE DE CAÑETE
2020-01-18,20:00:00,DESPISTE,0,0,-6.742869298,-78.6757469,CAJAMARCA,HUALGAYOC,HUALGAYOC
2020-01-18,09:30:00,CHOQUE,0,1,-6.384,-79.818,LAMBAYEQUE,LAMBAYEQUE,JAYANCA
2020-01-18,18:25:00,DESPISTE,3,17,-7.80493948,-78.36549224,LA LIBERTAD,OTUZCO,USQUIL
2020-01-18,19:40:00,CHOQUE,0,14,-14.24974601,-71.23537194,CUSCO,CANCHIS,SICUANI
2020-01-19,10:20:00,CHOQUE,1,13,-7.32,-79.369,LA LIBERTAD,CHEPEN,CHEPEN
2020-01-20,15:00:00,DESPISTE,0,0,-10.483,-76.183,PASCO,PASCO,TICLACAYAN
2020-01-20,13:10:00,DESPISTE,0,0,-16.07062446,-71.43332843,AREQUIPA,AREQUIPA,YURA
2020-01-20,21:35:00,DESPISTE,0,0,-16.08292027,-73.93239085,AREQUIPA,CARAVELI,CHAPARRA
2020-01-20,03:10:00,DESPISTE,0,7,-11.02603314,-77.59531995,LIMA,HUAURA,VEGUETA
2020-01-20,14:00:00,CHOQUE,1,0,-8.089,-78.909,LA LIBERTAD,TRUJILLO,LAREDO
2020-01-21,08:30:00,CHOQUE,0,0,-14.654429,-74.311238,AYACUCHO,LUCANAS,LUCANAS
2020-01-21,07:00:00,DESPISTE,0,0,-9.217159204,-77.68804904,ANCASH,YUNGAY,MANCOS
2020-01-21,10:21:00,ESPECIAL,0,0,-16.74969773,-70.87478869,MOQUEGUA,GENERAL SANCHEZ CERRO,QUINISTAQUILLAS
2020-01-21,09:15:00,CHOQUE,0,0,-10.37175,-78.011333,ANCASH,HUARMEY,HUARMEY
2020-01-21,02:40:00,ATROPELLO,0,1,-13.931021,-75.923265,ICA,ICA,SALAS-ICA
2020-01-21,06:45:00,CHOQUE,0,2,-11.903345,-76.511262,LIMA,HUAROCHIRI,SAN BARTOLOME
2020-01-21,07:40:00,DESPISTE,0,1,-11.4198,-75.7157,JUNIN,TARMA,TARMA
2020-01-22,04:30:00,ESPECIAL,0,2,-11.816,-76.358,LIMA,HUAROCHIRI,MATUCANA
2020-01-22,11:20:00,CHOQUE,0,0,-11.668354,-76.254729,LIMA,HUAROCHIRI,CHICLA
2020-01-22,18:15:00,INCENDIO,0,0,-8.447,-78.739,LA LIBERTAD,VIRU,VIRU
2020-01-22,23:10:00,DESPISTE,0,0,-12.73047799,-76.61564763,LIMA,CAÑETE,ASIA
2020-01-22,03:00:00,DESPISTE,4,19,-16.37333974,-72.1369367,AREQUIPA,AREQUIPA,SANTA ISABEL DE SIGUAS
2020-01-22,00:30:00,CHOQUE,0,4,-13.49150322,-76.13962924,ICA,CHINCHA,CHINCHA BAJA
2020-01-22,13:10:00,DESPISTE,0,1,-6.679,-78.526,CAJAMARCA,HUALGAYOC,BAMBAMARCA
2020-01-22,18:20:00,CHOQUE,1,2,-9.159853615,-78.49720297,ANCASH,SANTA,NUEVO CHIMBOTE
2020-01-22,16:00:00,DESPISTE,0,3,-7.3566,-78.1366,CAJAMARCA,SAN MARCOS,ICHOCAN
2020-01-22,23:15:00,CHOQUE,0,1,-6.023167,-77.221944,SAN MARTIN,RIOJA,RIOJA
2020-01-22,10:50:00,CHOQUE,2,8,-11.64453351,-75.80960556,JUNIN,YAULI,LA OROYA
2020-01-23,01:00:00,DESPISTE,0,0,-15.2261,-71.153,CUSCO,ESPINAR,OCORURO
2020-01-23,05:00:00,DESPISTE,0,0,-11.86725,-76.425639,LIMA,HUAROCHIRI,SURCO
2020-01-23,22:45:00,CHOQUE,0,0,-16.04751168,-71.33831675,AREQUIPA,AREQUIPA,SAN JUAN DE TARUCANI
2020-01-23,07:00:00,INCENDIO,3,52,-12.208387,-76.951646,LIMA,LIMA,VILLA EL SALVADOR
2020-01-23,06:00:00,CHOQUE,0,2,-16.880144,-72.025333,AREQUIPA,ISLAY,MOLLENDO
2020-01-23,15:15:00,DESPISTE,3,20,-5.852,-80.538,PIURA,SECHURA,SECHURA
2020-01-23,19:00:00,CHOQUE,0,2,-11.744,-77.165,LIMA,LIMA,ANCON
2020-01-23,22:15:00,CHOQUE,0,3,-11.60676017,-77.21381767,LIMA,HUARAL,AUCALLAMA
2020-01-23,21:30:00,CHOQUE,0,3,-9.120938202,-78.53903495,ANCASH,SANTA,NUEVO CHIMBOTE
